שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,60,011,מיגון שדרות,8,לרזרבה כללית,2,אישור ועדה,594,600210,בניית כיתות לימוד,"-13,000",0,0,0,0
2007,60,012,השתתפות במשרד החינוך,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,012,השתתפות במשרד החינוך,7,שינוי פנימי,1,אישור אגף,0,600601,חידוש מבנים במערכת,0,0,0,0,0
2007,60,012,השתתפות במשרד החינוך,7,שינוי פנימי,1,אישור אגף,0,600801,רזרבה לעמידה ביעדים,0,0,0,0,0
2007,60,013,פניית סוף שנה,7,שינוי פנימי,1,אישור אגף,0,600210,בניית כיתות לימוד,0,0,0,0,0
2007,60,013,פניית סוף שנה,7,שינוי פנימי,1,אישור אגף,0,600601,חידוש מבנים במערכת,0,0,0,0,0
2007,60,014,הקמת המכללה בלוד,7,שינוי פנימי,2,אישור ועדה,835,600210,בניית כיתות לימוד,0,0,0,-1000,0
2007,60,014,הקמת המכללה בלוד,7,שינוי פנימי,2,אישור ועדה,835,600701,פיתוח מכללות להכשרת,0,0,0,1000,0
2007,60,015,עודפים מחוייבים - לחינוך,5,עודפים,3,הודעה לועדה,0,600801,רזרבה לעמידה ביעדים,"3,265",0,0,0,0
2007,60,016,תוספת למגדל-אור,7,שינוי פנימי,2,אישור ועדה,870,600210,בניית כיתות לימוד,0,0,0,-3000,0
2007,60,016,תוספת למגדל-אור,7,שינוי פנימי,2,אישור ועדה,870,600601,חידוש מבנים במערכת,0,0,0,3000,0
2007,60,017,העברה לחינוך,8,לרזרבה כללית,2,אישור ועדה,891,470102,רזרבה כללית,"3,265",0,0,0,0
2007,60,017,העברה לחינוך,8,לרזרבה כללית,2,אישור ועדה,891,600801,רזרבה לעמידה ביעדים,-3265,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670202,"ביה""ח ממשלתיים",-234,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670205,תשתיות לשילוב חולי נפש,-33,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670301,תכנון,-81,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670302,סקטור ממשלתי,-2679,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670401,הצטיידות,-214,0,0,0,0
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,670501,פרוייקט מיחשוב מרכזי,-114,0,0,0,0
